AA,紺 / 8人（強）
AKs,紺 / 8人（強）
AQs,赤 / 8人（中）
AJs,赤 / 8人（中）
ATs,赤 / 8人（中）
A9s,緑 / 6〜7人
A8s,緑 / 6〜7人
A7s,緑 / 6〜7人
A6s,緑 / 6〜7人
A5s,緑 / 6〜7人
A4s,緑 / 6〜7人
A3s,緑 / 6〜7人
A2s,緑 / 6〜7人
AKo,紺 / 8人（強）
KK,紺 / 8人（強）
KQs,赤 / 8人（中）
KJs,黄 / 8人（弱）
KTs,緑 / 6〜7人
K9s,緑 / 6〜7人
K8s,白 / 3人
K7s,白 / 3人
K6s,白 / 3人
K5s,白 / 3人
K4s,白 / 3人
K3s,白 / 3人
K2s,白 / 3人
AQo,赤 / 8人（中）
KQo,黄 / 8人（弱）
QQ,紺 / 8人（強）
QJs,黄 / 8人（弱）
QTs,緑 / 6〜7人
Q9s,水色 / 4〜5人
Q8s,白 / 3人
Q7s,白 / 3人
Q6s,白 / 3人
Q5s,紫枠 / 2人
Q4s,紫枠 / 2人
Q3s,紫枠 / 2人
Q2s,紫枠 / 2人
AJo,黄 / 8人（弱）
KJo,緑 / 6〜7人
QJo,水色 / 4〜5人
JJ,赤 / 8人（中）
JTs,黄 / 8人（弱）
J9s,水色 / 4〜5人
J8s,白 / 3人
J7s,白 / 3人
J6s,紫枠 / 2人
J5s,ピンク / BBのみBTNのレイズにコール
J4s,ピンク / BBのみBTNのレイズにコール
J3s,ピンク / BBのみBTNのレイズにコール
J2s,ピンク / BBのみBTNのレイズにコール
ATo,緑 / 6〜7人
KTo,水色 / 4〜5人
QTo,白 / 3人
JTo,水色 / 4〜5人
TT,赤 / 8人（中）
T9s,緑 / 6〜7人
T8s,水色 / 4〜5人
T7s,紫枠 / 2人
T6s,ピンク / BBのみBTNのレイズにコール
T5s,ピンク / BBのみBTNのレイズにコール
T4s,ピンク / BBのみBTNのレイズにコール
T3s,ピンク / BBのみBTNのレイズにコール
T2s,グレー / フォールド
A9o,水色 / 4〜5人
K9o,白 / 3人
Q9o,白 / 3人
J9o,白 / 3人
T9o,白 / 3人
99,赤 / 8人（中）
98s,水色 / 4〜5人
97s,白 / 3人
96s,紫枠 / 2人
95s,ピンク / BBのみBTNのレイズにコール
94s,グレー / フォールド
93s,グレー / フォールド
92s,グレー / フォールド
A8o,白 / 3人
K8o,ピンク / BBのみBTNのレイズにコール
Q8o,ピンク / BBのみBTNのレイズにコール
J8o,ピンク / BBのみBTNのレイズにコール
T8o,白 / 3人
98o,紫枠 / 2人
88,黄 / 8人（弱）
87s,白 / 3人
86s,紫枠 / 2人
85s,ピンク / BBのみBTNのレイズにコール
84s,グレー / フォールド
83s,グレー / フォールド
82s,グレー / フォールド
A7o,白 / 3人
K7o,ピンク / BBのみBTNのレイズにコール
Q7o,ピンク / BBのみBTNのレイズにコール
J7o,グレー / フォールド
T7o,グレー / フォールド
97o,ピンク / BBのみBTNのレイズにコール
87o,ピンク / BBのみBTNのレイズにコール
77,黄 / 8人（弱）
76s,白 / 3人
75s,紫枠 / 2人
74s,ピンク / BBのみBTNのレイズにコール
73s,グレー / フォールド
72s,グレー / フォールド
A6o,紫枠 / 2人
K6o,ピンク / BBのみBTNのレイズにコール
Q6o,グレー / フォールド
J6o,グレー / フォールド
T6o,グレー / フォールド
96o,グレー / フォールド
86o,グレー / フォールド
76o,グレー / フォールド
66,緑 / 6〜7人
65s,白 / 3人
64s,紫枠 / 2人
63s,ピンク / BBのみBTNのレイズにコール
62s,グレー / フォールド
A5o,ピンク / BBのみBTNのレイズにコール
K5o,ピンク / BBのみBTNのレイズにコール
Q5o,グレー / フォールド
J5o,グレー / フォールド
T5o,グレー / フォールド
95o,グレー / フォールド
85o,グレー / フォールド
75o,グレー / フォールド
65o,グレー / フォールド
55,緑 / 6〜7人
54s,紫枠 / 2人
53s,ピンク / BBのみBTNのレイズにコール
52s,グレー / フォールド
A4o,ピンク / BBのみBTNのレイズにコール
K4o,グレー / フォールド
Q4o,グレー / フォールド
J4o,グレー / フォールド
T4o,グレー / フォールド
94o,グレー / フォールド
84o,グレー / フォールド
74o,グレー / フォールド
64o,グレー / フォールド
54o,グレー / フォールド
44,水色 / 4〜5人
43s,ピンク / BBのみBTNのレイズにコール
42s,グレー / フォールド
A3o,ピンク / BBのみBTNのレイズにコール
K3o,グレー / フォールド
Q3o,グレー / フォールド
J3o,グレー / フォールド
T3o,グレー / フォールド
93o,グレー / フォールド
83o,グレー / フォールド
73o,グレー / フォールド
63o,グレー / フォールド
53o,グレー / フォールド
43o,グレー / フォールド
33,水色 / 4〜5人
32s,グレー / フォールド
A2o,ピンク / BBのみBTNのレイズにコール
K2o,グレー / フォールド
Q2o,グレー / フォールド
J2o,グレー / フォールド
T2o,グレー / フォールド
92o,グレー / フォールド
82o,グレー / フォールド
72o,グレー / フォールド
62o,グレー / フォールド
52o,グレー / フォールド
42o,グレー / フォールド
32o,グレー / フォールド
22,水色 / 4〜5人
